bin_idx_of_angle_to_dancer_deg,midpt_mean_rad,midpt_std_rad,midpt_mean_deg,midpt_std_deg,s_s_mean_rad,s_s_std_rad,s_s_mean_deg,s_s_std_deg,l_antenna_mean_rad,l_antenna_std_rad,l_antenna_mean_deg,l_antenna_std_deg,r_antenna_mean_rad,r_antenna_std_rad,r_antenna_mean_deg,r_antenna_std_deg,l_antenna_min_rad,l_antenna_max_rad,l_antenna_min_deg,l_antenna_max_deg,r_antenna_min_rad,r_antenna_max_rad,r_antenna_min_deg,r_antenna_max_deg,l_antenna_median_rad,r_antenna_median_rad,l_antenna_median_deg,r_antenna_median_deg,bin_angle_to_dancer_deg,bin_angle_to_dancer_rad,remapped_bin_angle_to_dancer_deg,remapped_bin_angle_to_dancer_rad
0,-0.007890578683814375,0.11119751743278265,-0.45209685649845577,6.371148441230843,1.3466783548398489,0.3037568243356056,77.15898609394442,17.403984032726935,0.6660990207041326,0.1719476355677242,38.16466262414404,9.851873815284156,-0.6812728383596389,0.20285486609776335,-39.034058334905644,11.622727681093288,0.15936972906178745,1.1093825189929996,9.131212857383842,63.562936203890764,-0.28334630855027354,-1.2346037621037085,-16.234547620542266,-70.73758493951603,0.6770045198464514,-0.6593954690012171,38.78950169848245,-37.780577403819244,-172.4815901053461,-3.010371646413563,187.5184098946539,3.272813660766024
1,0.0018327980189831727,0.11719755573011575,0.10501159118767393,6.7149253125848904,1.3955806685565424,0.30254740070615455,79.96088227833567,17.334689163115996,0.6998638318491186,0.1800831679034972,40.09924379880802,10.31800548221616,-0.6954136460825509,0.20164579553690043,-39.8442669363345,11.553453040822326,0.1787237536848946,1.1749484769837077,10.240116784880156,67.3195888764904,-0.31087003417290354,-1.273311261198676,-17.811540935195048,-72.95536127316412,0.6948904188815934,-0.6589461077146954,39.814288225993195,-37.75483089862498,-164.98214028925884,-2.8794815550347566,195.01785971074116,3.4037037521448297
2,-0.027488614937063893,0.1263830449332686,-1.5749816205540341,7.241215076688534,1.408987893265624,0.3496782084820952,80.72905966914956,20.03508553371976,0.6774470682453781,0.2211227093131944,38.81485785397122,12.66939799814418,-0.729228672289493,0.2102265854616345,-41.781725222116556,12.045096088397969,-0.47255440630952095,1.07054958429346,-27.07537307184583,61.33797293950003,-0.3126108979493056,-1.319159847563755,-17.911285082290092,-75.58229176852419,0.6915698050977246,-0.7139200104409185,39.62403107078455,-40.904603508200296,-157.48269047317157,-2.7485914636559508,202.51730952682843,3.5345938435236355
3,-0.04641723272642029,0.1228263885188377,-2.6595115319004057,7.037433674963511,1.5298939098879014,0.30163262182877504,87.65646413934464,17.282276194254436,0.7174752189735121,0.182218233348531,41.108301952406805,10.440335721200816,-0.8105438510490388,0.20595981596361007,-46.440741775390364,11.800628204006015,0.19701396786656986,1.1948931613600577,11.288068863880472,68.46233511497577,-0.2635728861037429,-1.3446308453521787,-15.101613967826813,-77.04167244178792,0.7174496372783395,-0.8245937653245037,41.10683622924063,-47.245742565895114,-149.9832406570843,-2.617701372277145,210.0167593429157,3.6654839349024417
4,-0.036635337176984084,0.1163157999010616,-2.099050201279908,6.664404425019028,1.5464700866353782,0.3299143154380639,88.60620910743795,18.9026978755488,0.7355797608025529,0.20412640509038538,42.145615789228906,11.695581498856846,-0.8093051101102877,0.19913502023348237,-46.369767147689856,11.409596212630793,0.16571923844315883,1.3668110318237552,9.495012946915145,78.31250351542242,-0.24353208426402237,-1.2793395323170305,-13.953360604352811,-73.30075576600643,0.7487994000326588,-0.8224383141978155,42.903045323799546,-47.12224431338916,-142.48379084099702,-2.4868112808983383,217.51620915900298,3.796374026281248
5,-0.03867644264172432,0.1283666532837574,-2.2159969299506117,7.354867463378449,1.5376655963075825,0.34791250904655413,88.10174897089149,19.933918408174623,0.7292151403784684,0.2052415388464656,41.7809499007261,11.759473956672814,-0.8072055971079539,0.2255875148069827,-46.24947391362329,12.925212509285075,0.21513080227187642,1.261289038677257,12.32608701344194,72.26653866231969,-0.00886403376840269,-1.310854353484604,-0.5078717243909168,-75.10642201101794,0.7317696572152114,-0.8310678412896518,41.92731293416658,-47.616679794945185,-134.98434102490978,-2.355921189519533,225.01565897509022,3.927264117660054
6,-0.058376936824936276,0.13593540676526086,-3.344752100970685,7.788525094043545,1.4708037661923008,0.33664719098201384,84.27084829476514,19.28846322820398,0.6762571469177576,0.21542014577510527,38.74668038394596,12.342665175006484,-0.7929640705866929,0.2168980387761009,-45.43349455013141,12.427342206535457,0.0968197259893485,1.2558483885530658,5.547361672802758,71.95481237239619,-0.1594956266559089,-1.276078026945489,-9.138426258177853,-73.11388527335787,0.6919141161881892,-0.8014336316573758,39.64375864310772,-45.91876465380984,-127.48489120882249,-2.225031098140726,232.5151087911775,4.05815420903886
7,-0.05603987297706858,0.17137440690574637,-3.2108482060352617,9.819030232256896,1.4122122371835122,0.3720161032661269,80.91380096734324,21.31495262805207,0.6506596476972608,0.25105893205046126,37.28005171252208,14.384617215553146,-0.7617321831351709,0.253267024849881,-43.644039212931595,14.511131613733124,-0.07394775597774547,1.2038537259397697,-4.23689432198812,68.97573764744767,0.32026297110212876,-1.3377232710412166,18.349716578472226,-76.64589758709681,0.6893452817443229,-0.7787610569584977,39.49657527120633,-44.61972181286903,-119.98544139273523,-2.0941410067619204,240.01455860726477,4.189044300417666
8,-0.061120214445738785,0.15623767848556253,-3.5019303306753584,8.951759578144635,1.4885097460867485,0.392678479901595,85.28532621486049,22.498819603974116,0.6823329766505069,0.26504361937485427,39.09479978467259,15.185880777050965,-0.8039718900850068,0.23574090161355274,-46.06419614902661,13.50695872106535,-0.17386448058949977,1.4524045980850753,-9.96170094501256,83.21665361566941,0.09223825175526118,-1.4122127594750198,5.284862535241623,-80.91383089244229,0.7193891327973875,-0.8249659552031089,41.21796113686661,-47.267067475116676,-112.48599157664796,-1.9632509153831144,247.51400842335204,4.319934391796472
9,-0.06681134747513573,0.15752852436933448,-3.828008233907306,9.025719599286605,1.4692371101439168,0.38096684539131587,84.1810855152441,21.827792375335356,0.6683017326837368,0.2892415566540463,38.29086872405827,16.572320456070944,-0.7997930647443372,0.196313108100824,-45.82476709368392,11.247912557272707,-0.25403937068711246,1.2566644977592603,-14.555383770530984,72.0015719855329,-0.24864165040709924,-1.3534562837931654,-14.246117179494053,-77.54733281680898,0.684864527242166,-0.8077523925717696,39.2398469491985,-46.280802985956825,-104.9865417605607,-1.8323608240043086,255.0134582394393,4.450824483175278
