bin_idx_of_angle_to_dancer_deg,midpt_mean_rad,midpt_std_rad,midpt_mean_deg,midpt_std_deg,s_s_mean_rad,s_s_std_rad,s_s_mean_deg,s_s_std_deg,l_antenna_mean_rad,l_antenna_std_rad,l_antenna_mean_deg,l_antenna_std_deg,r_antenna_mean_rad,r_antenna_std_rad,r_antenna_mean_deg,r_antenna_std_deg,l_antenna_min_rad,l_antenna_max_rad,l_antenna_min_deg,l_antenna_max_deg,r_antenna_min_rad,r_antenna_max_rad,r_antenna_min_deg,r_antenna_max_deg,l_antenna_median_rad,r_antenna_median_rad,l_antenna_median_deg,r_antenna_median_deg,bin_angle_to_dancer_deg,bin_angle_to_dancer_rad,remapped_bin_angle_to_dancer_deg,remapped_bin_angle_to_dancer_rad
0,0.009111020267552394,0.14055113773536976,0.5220230083889063,8.05298699799861,1.3633554286736889,0.30043530933789653,78.11451203925151,17.2136752417688,0.7277618913043229,0.22409401582356328,41.69768486219627,12.839641320828063,-0.7085815182982493,0.1943632109958992,-40.598730439461605,11.136191682675738,0.023225757452588706,1.2649786311888223,1.3307378780278512,72.47793674135544,-0.33480875226023904,-1.47373188422678,-19.18312844855286,-84.43861710005694,0.74191433390706,-0.6864853686610554,42.50856009313424,-39.33271432176086,-176.98125999499845,-3.0889057012408463,183.01874000500155,3.1942796059387404
1,-0.012928167789816758,0.13903760651189864,-0.7407294511934738,7.966268046732444,1.3690282361385115,0.2971586005442638,78.43953996497616,17.025933657200245,0.7283294618841398,0.20397382296005437,41.73020426099557,11.686839186759764,-0.7535084135713968,0.2198631917462459,-43.17285192523919,12.597232957335446,0.26533870629233375,1.3723834732979774,15.202788012012064,78.63178089347902,-0.33775756534422485,-1.4470537020429926,-19.352082992838202,-82.91006985584482,0.7505697132845552,-0.7494653424625566,43.004476801549295,-42.94120101443138,-173.98148006856354,-3.0365496646893235,186.01851993143646,3.2466356424902627
2,-0.02330646906862066,0.14595602688833165,-1.3353623129841625,8.362664335199366,1.415559344999223,0.3070024883493739,81.1055761187587,17.58994688243335,0.7371427390340775,0.2035977668633542,42.235167845366085,11.665292759558682,-0.7830789615646303,0.23038834155958438,-44.86711952314052,13.200279620382647,0.1833433333406601,1.1764542896533767,10.504799202280017,67.40586558719976,-0.23454421528682315,-1.488929947730236,-13.438393645142732,-85.30940199557679,0.751541100903892,-0.7652064617212269,43.06013321240855,-43.843100712765285,-170.98170014212866,-2.9841936281378016,189.01829985787134,3.2989916790417846
3,0.008977067086460622,0.14077078968429674,0.5143480564599962,8.06557212763395,1.3743047953534289,0.3049064334924292,78.74186453834179,17.46985178550252,0.7603524806434492,0.22023609055786186,43.56498808317226,12.618598485426485,-0.7419105633958107,0.22978255329221697,-42.50834405875306,13.165570509383953,0.2924990035846236,1.4806946504701293,16.75895841718087,84.83755421953703,-0.3401652259463977,-1.540401784130472,-19.490031783842632,-88.25852098509816,0.7692586217744615,-0.7318124798796808,44.07527238172713,-41.929766492108186,-167.98192021569375,-2.9318375915862793,192.01807978430625,3.3513477155933074
4,0.001995265924121359,0.14173048383651124,0.11432031645842382,8.120558552179226,1.490914359642959,0.293317522566411,85.4231004229913,16.805856100288636,0.7856060121385342,0.19058715642555638,45.01190885564133,10.91983969258401,-0.7809138505042994,0.21653274620568563,-44.74306779720647,12.406412483963177,0.19214117367463557,1.272297395208721,11.008878322246778,72.89727103094785,-0.28209753698882556,-1.438968645258515,-16.162998280495334,-82.44683022497065,0.8133806793577103,-0.795056953931946,46.60328006468048,-45.553407932827625,-164.98214028925884,-2.8794815550347566,195.01785971074116,3.4037037521448297
5,-0.013327548294193026,0.13470825602630185,-0.7636122685140401,7.718214535874834,1.4456136152733317,0.35102481168793953,82.82755896181062,20.112240214093426,0.755316453399379,0.2124107796931175,43.27644497657414,12.170241199498765,-0.7820052035314577,0.23865088940143966,-44.80559771962147,13.673688739745883,0.25361331694950634,1.3308591797498674,14.530972689520379,76.25261412591,-0.18604852914052122,-1.427325134804436,-10.659795504368576,-81.77970621723547,0.7563934624573061,-0.770165184466868,43.338153050090725,-44.12721459786604,-161.98236036282393,-2.8271255184832342,198.01763963717607,3.456059788696352
6,-0.04345104348749418,0.1414240175032614,-2.489561407272818,8.102999324721159,1.4597058655278001,0.36395235450755203,83.63498542523384,20.852933857131873,0.7334922676478333,0.20490087060313192,42.02601124170102,11.739955104115658,-0.8198542587046429,0.25569797987635123,-46.974188839602775,14.650415076935982,0.09255264398299246,1.2523352342178056,5.302875883002341,71.7535234562077,-0.1524889306101295,-1.5819134814173312,-8.736972146423689,-90.63696604005986,0.7617046465707401,-0.8303560101792566,43.64246148400742,-47.57589487659343,-158.98258043638901,-2.7747694819317115,201.01741956361099,3.5084158252478748
7,-0.035246143141167696,0.13767044207923684,-2.019455246102883,7.887935294840525,1.4893640492836955,0.2822652899574279,85.3342741824701,16.17260981759704,0.751542806231416,0.17311234341328266,43.06023092047836,9.918606659200432,-0.8226473274732249,0.23135156951744942,-47.134219891932325,13.25546851707732,0.29736514522392543,1.1926945010490972,17.037767795625737,68.3363611585748,-0.1920480172407311,-1.2937616092440174,-11.00354085174956,-74.12707990573578,0.7574625826935012,-0.8696357257924193,43.39940912741673,-49.826456801701774,-155.9828005099541,-2.722413445380189,204.0171994900459,3.560771861799397
8,-0.01736762312084661,0.21031802262279742,-0.995091504998338,12.05033505182326,1.5229712102087047,0.28748942172462955,87.2598226648901,16.471930519477915,0.7857399812232155,0.24497511096926042,45.0195847187788,14.03603994428762,-0.8206040110684527,0.27242805282184845,-47.017146485729036,15.608977647658973,-1.484045109254927,1.3367902159642209,-85.02952136733846,76.5924374691317,3.03064855109701,-1.270252333603678,173.64337116529668,-72.78009763213463,0.7841101068677135,-0.8110350819599742,44.92619979707193,-46.468887233353335,-152.9830205835192,-2.670057408828667,207.0169794164808,3.61312789835092
9,-0.0582856801303544,0.13579806178843787,-3.339523477518829,7.7806558065342655,1.5323304533096884,0.31976409705874304,87.7960677940134,18.321133201277597,0.7506648861452714,0.21357514854305892,43.00992980479251,12.23695462039691,-0.8661101998373595,0.237002218167281,-49.62445904391302,13.579226836223967,0.06390768258297469,1.3847577691741872,3.6616404904661692,79.34077582163198,-0.2608102221547394,-1.5221140208828494,-14.943324983335968,-87.21070933427492,0.7802473291432938,-0.8891973316838107,44.70487893626553,-50.94725425977675,-149.9832406570843,-2.617701372277145,210.0167593429157,3.6654839349024417
